pagerank,total terms,user,community,commerce,url
56,48,25,4,19,https://www.gnu.org/philosophy/free-sw.html
30,50,33,2,15,https://www.gnu.org/philosophy/free-software-even-more-important.html
26,110,46,9,55,https://www.gnu.org/philosophy/words-to-avoid.html
25,51,33,8,10,https://www.gnu.org/philosophy/open-source-misses-the-point.html
20,115,30,2,83,https://www.gnu.org/philosophy/who-does-that-server-really-serve.html
18,34,11,1,22,https://www.gnu.org/philosophy/categories.html
14,5,2,0,3,https://www.gnu.org/philosophy/not-ipr.html
13,13,9,0,4,https://www.gnu.org/philosophy/why-call-it-the-swindle.html
9,21,18,2,1,https://www.gnu.org/philosophy/javascript-trap.html
8,51,21,0,30,https://www.gnu.org/philosophy/surveillance-vs-democracy.html
3,90,9,2,79,https://www.gnu.org/philosophy/copyright-and-globalization.html
3,84,22,23,39,https://www.gnu.org/philosophy/copyright-versus-community.html
2,187,45,42,100,https://www.gnu.org/philosophy/rms-nyu-2001-transcript.html
2,65,5,15,45,https://www.gnu.org/philosophy/copyright-versus-community-2000.html
2,21,5,12,4,https://www.gnu.org/philosophy/pragmatic.html
1,363,274,0,89,https://www.gnu.org/philosophy/proprietary/proprietary-surveillance.html
1,123,21,15,87,https://www.gnu.org/philosophy/stallman-mec-india.html
1,113,40,1,72,https://www.gnu.org/philosophy/free-digital-society.html
1,108,62,11,35,https://www.gnu.org/philosophy/google-engineering-talk.html
1,99,85,0,14,https://www.gnu.org/philosophy/proprietary/malware-microsoft.html
1,95,43,7,45,https://www.gnu.org/philosophy/nit-india.html
1,94,13,2,79,https://www.gnu.org/philosophy/danger-of-software-patents.html
1,89,76,0,13,https://www.gnu.org/philosophy/proprietary/malware-apple.html
1,87,29,16,42,https://www.gnu.org/philosophy/ough-interview.html
1,72,2,32,38,https://www.gnu.org/philosophy/rms-hack.html
1,54,6,2,46,https://www.gnu.org/philosophy/moglen-harvard-speech-2004.html
1,46,16,10,20,https://www.gnu.org/philosophy/rms-interview-edinburgh.html
1,44,43,0,1,https://www.gnu.org/philosophy/android-and-users-freedom.html
0,69,42,1,26,https://www.gnu.org/philosophy/digital-inclusion-in-freedom.html
0,54,17,12,25,https://www.gnu.org/philosophy/free-software-for-freedom.html
