bucket,sentiment,score,sentence
commerce,negative,0.9913029670715332,some were paid by the free software foundation and by free software companies; most were volunteers.
community,positive,0.9743368625640869,"in future columns, i will be writing about the specific challenges facing the free software community, and other issues affecting freedom for computer users, as well as developments affecting the gnu/linux operating system."
commerce,positive,0.9945473670959473,"when i speak of software, i am speaking both about the programs that run the computer, that is to say, the operating system, and about applications, such as electronic mail and other communications, spreadsheets, electronic commerce, writing tools, sending and receiving faxes, web site creation, engineering, research, mathematical computations, modeling, image manipulation, and networking."
commerce,negative,0.9996417760848999,"on the bad side, we see machines that crash unnecessarily, email messages that waste their recipients money, systems that are vulnerable to simple viruses, and programs that do only part of what you want."
commerce,negative,0.9993313550949097,"few expect that in a competitive, free market, every producer will become more collaborative and that there will be no visible or felt competition among competing businessmen."
commerce,negative,0.9990155696868896,"indeed, in some circumstances the cost will be so low that companies or other organizations will give away cd-roms containing the software; others will make copies for their friends; and yet others will provide downloads over the internet at no charge."
commerce,negative,0.9983965754508972,"the organization can use restricted-distribution, proprietary software, and either pay a lot of money it does not have, or break the law and steal it."
commerce,negative,0.9493887424468994,they wanted to work around the dislike many companies have of free markets.
commerce,negative,0.9792000651359558,"instead, and this is often not understood, a business enters the industry to make money in other ways."
commerce,negative,0.7433464527130127,"companies and people in the ""software industry"" do not sell software itself, but services associated with software or hardware or other solutions."
commerce,negative,0.9934642910957336,"less directly, and increasingly, hardware companies that sell telephones or desalinization plants, add software to their products to make them more attractive to buyers."
commerce,negative,0.9871028065681458,"next time you pay at a restaurant, take out four and a half times the money… for me the resource use was not an issue because i don't pay by the minute for telecommunications, as many do."
commerce,positive,0.9883866906166077,but i know that my correspondents around the world prefer that i take care in my communications that i do not waste their money or that of their supporting institutions.
commerce,negative,0.9989713430404663,this frugality means that people can use older equipment that has been tossed out by first world companies.
commerce,negative,0.9646342396736145,"this legal tool means that companies in the ict industry compete not to sell software itself, but to sell services associated with it, or to sell hardware, or other solutions."
commerce,positive,0.992831826210022,this legal framework means that companies will provide more reliable and efficient services.
